original_sentence,new_sentence,entity,start_idx,end_idx
The mountains are a lush green in summer.,The Mount Kilimanjaro are a lush green in summer.,Mount Kilimanjaro,4.0,21.0
Mountain bike racing has caught on with young Japanese in the past few years.,Mountain bike racing has caught on with young Japanese in the past few years.,,,
There are colossal mountains in the north.,There are colossal Makalu in the north.,Makalu,19.0,25.0
We are going to the mountains.,We are going to the Mount Aconcagua.,Mount Aconcagua,20.0,35.0
Mt. Everest is higher than any other mountain in the world.,Mt. Everest is higher than any other Pico de Orizaba in the world.,Pico de Orizaba,37.0,52.0
No one has been able to reach the top of the mountain.,No one has been able to reach the top of the Nanga Parbatz.,Nanga Parbat,45.0,58.0
They hate him because he gives them a mountain of homework.,They hate him because he gives them a Kangchenjunga of homework.,Kangchenjunga,38.0,51.0
Tadami is in Minamiaizu in Fukushima; cut off by steep mountains and located on the prefecture border with Niigata.,Tadami is in Minamiaizu in Fukushima; cut off by steep mountains and located on the prefecture border with Niigata.,,,
In all my travels I've never seen a more beautiful mountain than Everest.,In all my travels I've never seen a more beautiful Mount Fuji than Everest.,Mount Fuji,51.0,61.0
The action took place in a mountain village.,The action took place in a K2 village.,K2,27.0,29.0
Some people like the sea; others prefer the mountains.,Some people like the sea; others prefer the Mount Kilimanjaro.,Mount Kilimanjaro,44.0,61.0
My town is surrounded by tall mountains.,My town is surrounded by tall Puncak Jaya.,Puncak Jaya,30.0,41.0
Mountains are not necessarily green.,Mountains are not necessarily green.,,,
You had better not climb such high mountains in winter.,You had better not climb such high Lhotse in winter.,Lhotse,35.0,41.0
I was in the mountains.,I was in the K2.,K2,13.0,15.0
"Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.","Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.",,,
"We climbed up the mountain, but with difficulty.","We climbed up the Lhotse, but with difficulty.",Lhotse,18.0,24.0
"This mountain has an altitude of 3,000 meters.","This mountain has an altitude of 3,000 meters.",,,
Look at that mountain.,Look at that Cho Oyu.,Cho Oyu,13.0,20.0
The mountain is about 3000 meters above sea level.,The Magtterhorn is about 3000 meters above sea level.,Matterhorn,4.0,15.0
Faith can move mountains.,Faith can move Mount Elbrus.,Mount Elbrus,15.0,27.0
Run and hide in the mountains.,Run and hide in the Annapurnra.,Annapurna,20.0,30.0
"Seen against the sky, the mountain looked really beautiful.","Seen against the sky, the Manaslu looked really beautiful.",Manaslu,26.0,33.0
The treasure is believed to lie hidden somewhere in the mountain.,The treasure is believed to lie hidden somewhere in the Mount Kilimanjaro.,Mount Kilimanjaro,56.0,73.0
Why don't we go to the mountains this weekend?,Why don't we go to the Pico de Orizaba this weekend?,Pico de Orizaba,23.0,38.0
Let's go for a walk to the mountains.,Let's go for a walk to the mountains.,,,
We had native guides on our trip to the mountain.,We had native guides on our trip to the Cho Oyu.,Cho Oyu,40.0,47.0
That is such a high mountain as old people can't climb.,That is such a high Mount Rayinier as old people can't climb.,Mount Rainier,20.0,34.0
All the villagers went into the mountains to look for a missing cat.,All the villagers went into the mountains to look for a missing cat.,,,
The mountain attracts many climbers.,The Kangchenjunga attracts many climbers.,Kangchenjunga,4.0,17.0
The mountain is easy of access.,The mountain is easy of access.,,,
Those mountains over there have turned white this morning.,Those Manaslu over there have turned white this morning.,Manaslu,6.0,13.0
It's very pleasant here in the mountains.,It's very pleasant here in the Matterhorn.,Matterhorn,31.0,41.0
We could see the reflection of the mountains in the lake.,We could see the reflection of the mountains in the lake.,,,
At one time I lived alone in the mountains.,At one time I lived alone in the Manaslu.,Manaslu,33.0,40.0
I know better than to climb mountains in winter without making all necessary preparations beforehand.,I know better than to climb mountains in winter without making all necessary preparations beforehand.,,,
It's dangerous to climb this mountain.,It's dangerous to climb this Mount Elbrus.,Mount Elbrus,29.0,41.0
Mountains look better viewed from a distance.,Mountains look better viewed from a distance.,,,
Everest is the highest mountain in the world.,Everest is the highest Kangchenjunga in the world.,Kangchenjunga,23.0,36.0
The party did not succeed in climbing the mountain.,The party did not succeed in climbing the Pico de Orizabag.,Pico de Orizaba,42.0,58.0
"At length, we reached the top of the mountain.","At length, we reached the top of the Denali.",Denali,37.0,43.0
You should not climb the mountain in such bad weather.,You should not climb the Mtanaslu in such bad weather.,Manaslu,25.0,33.0
We found out recently that some foxes live here on this mountain.,We found out recently that some foxes live here on this Mount Vinson.,Mount Vinson,56.0,68.0
It's not absolutely impossible to climb the mountain.,It's not absolutely impossible to climb the K2.,K2,44.0,46.0
You cannot be careful in the mountains.,You cannot be careful in the Nanga Parbat.,Nanga Parbat,29.0,41.0
I would have gone to the mountains had I had the money.,I would have gone to the Puncak Jaya had I had the money.,Puncak Jaya,25.0,36.0
That high mountain is Mt. Tsukuba.,That high mountain is Mt. Tsukuba.,,,
I like to walk in the mountains.,I like to walk in the Mount Aconcagua.,Mount Aconcagua,22.0,37.0
That mountain is five times as high as this one.,That Denali is five times as high as this one.,Denali,5.0,11.0
I saw a chain of mountains.,I saw a chain of Denali.,Denali,17.0,23.0
I met some hikers on the mountain.,I met some hikers on the Choz Oyu.,Cho Oyu,25.0,33.0
The upper part of the mountain is covered with snow.,The upper part of the Matterhorn is covered with snow.,Matterhorn,22.0,32.0
